q,titulo,lic,w,h,fuente,autor,url,pagina
banana plantation aerial,"A0356 Tenerife, Banana plantations aerial view",by-sa 4.0,6861,4245,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/b/bb/A0356_Tenerife%2C_Banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54416129
banana plantation aerial,"A0353 Tenerife, Banana plantations aerial view",by-sa 4.0,6566,4974,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/7/73/A0353_Tenerife%2C_Banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54416125
banana plantation aerial,"A0179 Tenerife, banana plantations aerial view",by-sa 4.0,7687,5029,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/a/a9/A0179_Tenerife%2C_banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54257102
banana plantation aerial,"A0182 Tenerife, banana plantations aerial view",by-sa 4.0,7365,4373,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/8/88/A0182_Tenerife%2C_banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54257101
banana plantation aerial,lawyer_supportgroups,by 2.0,1024,768,flickr,DirtyBananas.Org,https://live.staticflickr.com/3220/2884049073_197b8162eb_b.jpg,https://www.flickr.com/photos/28783348@N07/2884049073
banana plantation aerial,Kissonerga Cyprus,by-nc-sa 2.0,1024,768,flickr,Aerialpete,https://live.staticflickr.com/1961/44040584740_9282d2b971_b.jpg,https://www.flickr.com/photos/83748984@N02/44040584740
banana plantation aerial,the river wins,by-nc-sa 2.0,1024,768,flickr,wockerjabby,https://live.staticflickr.com/140/346960127_517248c7e6_b.jpg,https://www.flickr.com/photos/68051280@N00/346960127
banana plantation aerial,starr-151005-0890-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1650/26282917485_594e9d2539_b.jpg,https://www.flickr.com/photos/97499887@N06/26282917485
banana plantation aerial,starr-151005-0892-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1508/26256980166_42779c45d2_b.jpg,https://www.flickr.com/photos/97499887@N06/26256980166
banana plantation aerial,four corners,by-nc-sa 2.0,1024,768,flickr,wockerjabby,https://live.staticflickr.com/206/523956916_4519bb825d_b.jpg,https://www.flickr.com/photos/68051280@N00/523956916
banana plantation aerial,starr-151005-0889-Musa_x_paradisiaca-aerial_view-Maui_Tropical_Plantation_West_M,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1671/26282915455_203ffb74e1_b.jpg,https://www.flickr.com/photos/97499887@N06/26282915455
banana plantation aerial,starr-151005-0891-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1474/26190481442_0034e63d40_b.jpg,https://www.flickr.com/photos/97499887@N06/26190481442
banana plantation aerial,"A0468 Tenerife, Banana plantations and Adeje aerial view",by-sa 4.0,6854,4116,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/e/ef/A0468_Tenerife%2C_Banana_plantations_and_Adeje_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54445682
banana plantation aerial,"A0470 Tenerife, Banana plantations and Adeje aerial view",by-sa 4.0,7074,4455,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/5/52/A0470_Tenerife%2C_Banana_plantations_and_Adeje_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54445453
banana plantation aerial,File:Starr-151005-0890-Musa x paradisiaca-aerial view crops-Maui Tropical Planta,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/b/b8/Starr-151005-0890-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_West_Maui-Maui_%2826282917485%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71969423
banana plantation aerial,Aerial view of a banana plantation in Bangladesh,by-sa 4.0,8064,6048,wikimedia,The Roving Rokibul,https://upload.wikimedia.org/wikipedia/commons/b/bc/Aerial_view_of_a_banana_plantation_in_Bangladesh.jpg,https://commons.wikimedia.org/w/index.php?curid=194866415
banana plantation aerial,File:Starr-151005-0891-Musa x paradisiaca-aerial view crops-Maui Tropical Planta,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/e/ec/Starr-151005-0891-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_West_Maui-Maui_%2826190481442%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71969430
banana farm aerial view,20181113-FPAC-LSC-1112,pdm 1.0,768,1024,flickr,USDAgov,https://live.staticflickr.com/4907/46664816734_ab0a3981ea_b.jpg,https://www.flickr.com/photos/41284017@N08/46664816734
banana farm aerial view,20181113-FPAC-LSC-0971,pdm 1.0,1024,682,flickr,USDAgov,https://live.staticflickr.com/4847/47335321572_38998b02b5_b.jpg,https://www.flickr.com/photos/41284017@N08/47335321572
banana farm aerial view,20181113-FPAC-LSC-1048,pdm 1.0,1024,682,flickr,USDAgov,https://live.staticflickr.com/7834/47335321122_a0049ab37a_b.jpg,https://www.flickr.com/photos/41284017@N08/47335321122
banana farm aerial view,20181113-FPAC-LSC-0984,pdm 1.0,683,1024,flickr,USDAgov,https://live.staticflickr.com/7900/47335321222_ae26a4cb01_b.jpg,https://www.flickr.com/photos/41284017@N08/47335321222
banana farm aerial view,20181113-FPAC-LSC-0990,pdm 1.0,1024,683,flickr,USDAgov,https://live.staticflickr.com/7809/40422593333_d7b466b6a9_b.jpg,https://www.flickr.com/photos/41284017@N08/40422593333
banana farm aerial view,20181113-FPAC-LSC-0977,pdm 1.0,1024,682,flickr,USDAgov,https://live.staticflickr.com/4911/40422593423_8250a88b79_b.jpg,https://www.flickr.com/photos/41284017@N08/40422593423
banana farm aerial view,starr-141025-2592-Musa_x_paradisiaca-aerial_view_farming-Waihee-Maui,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1538/24617355934_50285baa72_b.jpg,https://www.flickr.com/photos/97499887@N06/24617355934
banana farm aerial view,File:Starr-141025-2592-Musa x paradisiaca-aerial view farming-Waihee-Maui (24617,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/3/3a/Starr-141025-2592-Musa_x_paradisiaca-aerial_view_farming-Waihee-Maui_%2824617355934%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71949971
banana field from above,"Watling's Blue Hole San Salvador Island, Bahamas",by 2.0,3000,1760,wikimedia,James St. John,https://upload.wikimedia.org/wikipedia/commons/a/a2/Watling%27s_Blue_Hole_San_Salvador_Island%2C_Bahamas.jpg,https://commons.wikimedia.org/w/index.php?curid=38371310
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 2",by 2.0,1024,668,flickr,James St. John,https://live.staticflickr.com/7454/15848245423_4fef4fee0d_b.jpg,https://www.flickr.com/photos/47445767@N05/15848245423
banana field from above,"Watling's Well Banana Hole (San Salvador Island, Bahamas) 1",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7412/16426315031_65f8640856_b.jpg,https://www.flickr.com/photos/47445767@N05/16426315031
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 6",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7288/16282078859_a92d354e42_b.jpg,https://www.flickr.com/photos/47445767@N05/16282078859
banana field from above,"Watling's Well Banana Hole (San Salvador Island, Bahamas) 2",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7343/16240672100_4bcf04baa1_b.jpg,https://www.flickr.com/photos/47445767@N05/16240672100
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 4",by 2.0,1024,768,flickr,James St. John,https://live.staticflickr.com/8630/16282079789_df4e7eaeab_b.jpg,https://www.flickr.com/photos/47445767@N05/16282079789
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 1",by 2.0,1024,663,flickr,James St. John,https://live.staticflickr.com/7286/16282066419_b74db63772_b.jpg,https://www.flickr.com/photos/47445767@N05/16282066419
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 3",by 2.0,1024,766,flickr,James St. John,https://live.staticflickr.com/7286/16442318906_f32b8c8f28_b.jpg,https://www.flickr.com/photos/47445767@N05/16442318906
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 5",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7323/15848243833_75f08ae0f3_b.jpg,https://www.flickr.com/photos/47445767@N05/15848243833
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 8",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7434/16282078139_4af7d46bdf_b.jpg,https://www.flickr.com/photos/47445767@N05/16282078139
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 7",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7403/15848242833_2e93e477b8_b.jpg,https://www.flickr.com/photos/47445767@N05/15848242833
banana field from above,Ray_Malawi,by-nc-sa 2.0,1024,683,flickr,World Resources,https://live.staticflickr.com/4821/45803173492_87b2d1e770_b.jpg,https://www.flickr.com/photos/26107309@N05/45803173492
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 2 (15848245423)",by 2.0,1790,1177,wikimedia,James St. John,https://upload.wikimedia.org/wikipedia/commons/c/c2/Watling%27s_Blue_Hole_%28San_Salvador_Island%2C_Bahamas%29_2_%2815848245423%29.jpg,https://commons.wikimedia.org/w/index.php?curid=38693509
banana field from above,"Watling's Well Banana Hole (San Salvador Island, Bahamas) 2 (16240672100)",by 2.0,3008,2000,wikimedia,James St. John,https://upload.wikimedia.org/wikipedia/commons/5/55/Watling%27s_Well_Banana_Hole_%28San_Salvador_Island%2C_Bahamas%29_2_%2816240672100%29.jpg,https://commons.wikimedia.org/w/index.php?curid=38693468
banana field from above,"Watling's Well Banana Hole (San Salvador Island, Bahamas) 1 (16426315031)",by 2.0,3008,2000,wikimedia,James St. John,https://upload.wikimedia.org/wikipedia/commons/a/a9/Watling%27s_Well_Banana_Hole_%28San_Salvador_Island%2C_Bahamas%29_1_%2816426315031%29.jpg,https://commons.wikimedia.org/w/index.php?curid=38693464
banana trees aerial,H_15F College Hill - Looking North-East with The First Baptist Church in America,by 2.0,1024,995,flickr,CthulhuWho1 (Will Hart),https://live.staticflickr.com/3478/3822932807_6075b4d3b7_b.jpg,https://www.flickr.com/photos/41340252@N08/3822932807
banana trees aerial,H_15D College Hill - The First Baptist Church in America (1775) - 75 North Main ,by 2.0,1024,747,flickr,CthulhuWho1 (Will Hart),https://live.staticflickr.com/2588/3822932833_30929bb68b_b.jpg,https://www.flickr.com/photos/41340252@N08/3822932833
banana trees aerial,"Floodwaters, Bundaberg ... 30 Dec 2010",by-nc 2.0,1024,683,flickr,srv007,https://live.staticflickr.com/5128/5342590900_76f9311ea7_b.jpg,https://www.flickr.com/photos/92335052@N00/5342590900
banana trees aerial,People dressed array bright colors,cc0 1.0,3264,2176,rawpixel,,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvdXB3azYxNjczMzk0LXdpa2ltZWRpYS1pbWFnZS1rb3dtMXdjei5qcGc.jpg,https://www.rawpixel.com/image/3294659/free-photo-image-beach-banana-tree-images-pictures-aerial-view
banana trees aerial,"Aerial view of Playa Abama and nearby banana tree plantations on Tenerife, Spain",by 2.0,4160,2768,wikimedia,dronepicr,https://upload.wikimedia.org/wikipedia/commons/f/f8/Aerial_view_of_Playa_Abama_and_nearby_banana_tree_plantations_on_Tenerife%2C_Spain_%2848225349162%29.jpg,https://commons.wikimedia.org/w/index.php?curid=80678464
banana trees aerial,ASC Leiden - F. van der Kraaij Collection - 14 - 34 - An unpaved road leading to,by-sa 4.0,6589,4358,wikimedia,Fred van der Kraaij,https://upload.wikimedia.org/wikipedia/commons/b/b5/ASC_Leiden_-_F._van_der_Kraaij_Collection_-_14_-_34_-_An_unpaved_road_leading_to_%E2%80%98VP_House%E2%80%99_of_Vice_President_James_Greene_%281972-1977%29_-_Old_Road_area%2C_Monrovia%2C_Montserrado_County%2C_Liberia_-_1977-1978.tif,https://commons.wikimedia.org/w/index.php?curid=113232766
musa plantation aerial,File:Starr-151005-0892-Musa x paradisiaca-aerial view crops-Maui Tropical Planta,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/8/86/Starr-151005-0892-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_West_Maui-Maui_%2826256980166%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71969437
