q,titulo,lic,w,h,fuente,autor,url,pagina,idx,thumb
banana plantation aerial,"A0356 Tenerife, Banana plantations aerial view",by-sa 4.0,6861,4245,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/b/bb/A0356_Tenerife%2C_Banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54416129,0,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\000.jpg
banana plantation aerial,"A0353 Tenerife, Banana plantations aerial view",by-sa 4.0,6566,4974,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/7/73/A0353_Tenerife%2C_Banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54416125,1,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\001.jpg
banana plantation aerial,"A0179 Tenerife, banana plantations aerial view",by-sa 4.0,7687,5029,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/a/a9/A0179_Tenerife%2C_banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54257102,2,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\002.jpg
banana plantation aerial,"A0182 Tenerife, banana plantations aerial view",by-sa 4.0,7365,4373,wikimedia,Wouter Hagens,https://upload.wikimedia.org/wikipedia/commons/8/88/A0182_Tenerife%2C_banana_plantations_aerial_view.jpg,https://commons.wikimedia.org/w/index.php?curid=54257101,3,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\003.jpg
banana plantation aerial,lawyer_supportgroups,by 2.0,1024,768,flickr,DirtyBananas.Org,https://live.staticflickr.com/3220/2884049073_197b8162eb_b.jpg,https://www.flickr.com/photos/28783348@N07/2884049073,4,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\004.jpg
banana plantation aerial,Kissonerga Cyprus,by-nc-sa 2.0,1024,768,flickr,Aerialpete,https://live.staticflickr.com/1961/44040584740_9282d2b971_b.jpg,https://www.flickr.com/photos/83748984@N02/44040584740,5,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\005.jpg
banana plantation aerial,the river wins,by-nc-sa 2.0,1024,768,flickr,wockerjabby,https://live.staticflickr.com/140/346960127_517248c7e6_b.jpg,https://www.flickr.com/photos/68051280@N00/346960127,6,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\006.jpg
banana plantation aerial,starr-151005-0890-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1650/26282917485_594e9d2539_b.jpg,https://www.flickr.com/photos/97499887@N06/26282917485,7,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\007.jpg
banana plantation aerial,starr-151005-0892-Musa_x_paradisiaca-aerial_view_crops-Maui_Tropical_Plantation_,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1508/26256980166_42779c45d2_b.jpg,https://www.flickr.com/photos/97499887@N06/26256980166,8,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\008.jpg
banana plantation aerial,four corners,by-nc-sa 2.0,1024,768,flickr,wockerjabby,https://live.staticflickr.com/206/523956916_4519bb825d_b.jpg,https://www.flickr.com/photos/68051280@N00/523956916,9,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\009.jpg
